Validation ID,Validation Name,Category,Document Type,Field/Check,Description,Validation Logic,Error Message Example,Severity,Requirement Source
1,SAP PO Verification,Cross-System,PO,PO Number,Verifies PO exists in SAP system,Calls SAP OData API to verify PO number exists and retrieves vendor/amount/date from SAP,"PO {poNumber} not found in SAP",Error,SAP Integration
2,SAP Vendor Match,Cross-System,PO + Invoice,Vendor Name,Verifies vendor name matches between PO and SAP,Compares vendor from PO with vendor returned from SAP,"Vendor mismatch: PO has '{poVendor}', SAP has '{sapVendor}'",Error,SAP Integration
3,Amount Consistency,Cross-Document,Invoice + Cost Summary,Total Amount,Invoice total must match Cost Summary total within ±2%,Calculates percentage difference between invoice total and cost summary total,"Invoice total and Cost Summary total differ by {percentage}% (tolerance: ±2%)",Error,Business Rule
4,Line Item Matching,Cross-Document,PO + Invoice,Line Items,All PO line items must appear in Invoice,Checks that all PO item codes exist in Invoice line items,"Missing {count} PO line items in Invoice: {itemCodes}",Error,Business Rule
5,Completeness - PO,Completeness,Package,Document Presence,PO document must be present,Checks if at least one PO document exists in package,"Missing required items: PO",Error,Business Rule
6,Completeness - Invoice,Completeness,Package,Document Presence,Invoice document must be present,Checks if at least one Invoice document exists in package,"Missing required items: Invoice",Error,Business Rule
7,Completeness - Cost Summary,Completeness,Package,Document Presence,Cost Summary document must be present,Checks if at least one Cost Summary document exists in package,"Missing required items: CostSummary",Error,Business Rule
8,Completeness - Photos,Completeness,Package,Document Presence,At least 1 photo must be present,Checks if at least one Photo document exists in package,"Missing required items: Photos (at least 1 required)",Error,Business Rule
9,Date Validation - Invoice After PO,Cross-Document,PO + Invoice,Invoice Date,Invoice date must be >= PO date,Compares invoice date with PO date,"Invoice date ({invoiceDate}) is before PO date ({poDate})",Error,Business Rule
10,Date Validation - Invoice Before Submission,Cross-Document,Invoice + Package,Invoice Date,Invoice date must be <= Submission date,Compares invoice date with package creation date,"Invoice date ({invoiceDate}) is after submission date ({submissionDate})",Error,Business Rule
11,Vendor Matching,Cross-Document,PO + Invoice,Vendor Name,Vendor names must match across PO and Invoice,Normalizes and compares vendor names (case-insensitive),"Vendor names do not match across documents",Error,Business Rule
12,Invoice - Agency Name,Field Presence,Invoice,Agency Name,Agency Name must be present,Checks if AgencyName field is not null/empty,"Missing required fields: Agency Name",Error,Invoice Requirement
13,Invoice - Agency Address,Field Presence,Invoice,Agency Address,Agency Address must be present,Checks if AgencyAddress field is not null/empty,"Missing required fields: Agency Address",Error,Invoice Requirement
14,Invoice - Billing Name,Field Presence,Invoice,Billing Name,Billing Name must be present,Checks if BillingName field is not null/empty,"Missing required fields: Billing Name",Error,Invoice Requirement
15,Invoice - Billing Address,Field Presence,Invoice,Billing Address,Billing Address must be present,Checks if BillingAddress field is not null/empty,"Missing required fields: Billing Address",Error,Invoice Requirement
16,Invoice - State Name/Code,Field Presence,Invoice,State Name or State Code,Either State Name or State Code must be present,Checks if StateName OR StateCode is not null/empty,"Missing required fields: State Name/Code",Error,Invoice Requirement
17,Invoice - Invoice Number,Field Presence,Invoice,Invoice Number,Invoice Number must be present,Checks if InvoiceNumber field is not null/empty,"Missing required fields: Invoice Number",Error,Invoice Requirement
18,Invoice - Invoice Date,Field Presence,Invoice,Invoice Date,Invoice Date must be present,Checks if InvoiceDate is not default date,"Missing required fields: Invoice Date",Error,Invoice Requirement
19,Invoice - Vendor Code,Field Presence,Invoice,Vendor Code,Vendor Code must be present,Checks if VendorCode field is not null/empty,"Missing required fields: Vendor Code",Error,Invoice Requirement
20,Invoice - GST Number,Field Presence,Invoice,GST Number,GST Number must be present,Checks if GSTNumber field is not null/empty,"Missing required fields: GST Number",Error,Invoice Requirement
21,Invoice - GST Percentage,Field Presence,Invoice,GST Percentage,GST Percentage must be > 0,Checks if GSTPercentage is greater than 0,"Missing required fields: GST Percentage",Error,Invoice Requirement
22,Invoice - HSN/SAC Code,Field Presence,Invoice,HSN/SAC Code,HSN/SAC Code must be present,Checks if HSNSACCode field is not null/empty,"Missing required fields: HSN/SAC Code",Error,Invoice Requirement
23,Invoice - Total Amount,Field Presence,Invoice,Total Amount,Invoice Amount must be > 0,Checks if TotalAmount is greater than 0,"Missing required fields: Invoice Amount",Error,Invoice Requirement
24,Invoice - Agency Code Match,Cross-Document,Invoice + PO,Agency Code,Agency Code must match between Invoice and PO,Compares AgencyCode fields (case-insensitive),"Agency Code mismatch: Invoice has '{invoiceCode}', PO has '{poCode}'",Error,Invoice Cross-Validation
25,Invoice - PO Number Match,Cross-Document,Invoice + PO,PO Number,PO Number in Invoice must match PO document,Compares PONumber in Invoice with PO document,"PO Number mismatch: Invoice references '{invoicePoNumber}', but PO is '{poNumber}'",Error,Invoice Cross-Validation
26,Invoice - Vendor Code Match,Cross-Document,Invoice + PO,Vendor Code,Vendor Code must match between Invoice and PO,Compares VendorCode fields (case-insensitive),"Vendor Code mismatch: Invoice has '{invoiceCode}', PO has '{poCode}'",Error,Invoice Cross-Validation
27,Cost Summary - Campaign Name,Field Presence,Cost Summary,Campaign Name,Campaign Name must be present,Checks if CampaignName field is not null/empty,"Missing required fields: Campaign Name",Error,Cost Summary Requirement
28,Cost Summary - State,Field Presence,Cost Summary,State,State must be present,Checks if State field is not null/empty,"Missing required fields: State",Error,Cost Summary Requirement
29,Cost Summary - Start Date,Field Presence,Cost Summary,Campaign Start Date,Campaign Start Date must be present,Checks if CampaignStartDate is not default date,"Missing required fields: Campaign Start Date",Error,Cost Summary Requirement
30,Cost Summary - End Date,Field Presence,Cost Summary,Campaign End Date,Campaign End Date must be present,Checks if CampaignEndDate is not default date,"Missing required fields: Campaign End Date",Error,Cost Summary Requirement
31,Cost Summary - Total Cost,Field Presence,Cost Summary,Total Cost,Total Cost must be > 0,Checks if TotalCost is greater than 0,"Missing required fields: Total Cost",Error,Cost Summary Requirement
32,Cost Summary - Cost Breakdowns,Field Presence,Cost Summary,Cost Breakdowns,At least one cost breakdown must be present,Checks if CostBreakdowns list has at least one item,"Missing required fields: Cost Breakdowns",Error,Cost Summary Requirement
33,Cost Summary - Date Range Match,Cross-Document,Cost Summary + Invoice,Date Range,Invoice date must fall within campaign date range,Checks if InvoiceDate is between CampaignStartDate and CampaignEndDate,"Invoice date ({invoiceDate}) is outside campaign period ({startDate} to {endDate})",Error,Cost Summary Cross-Validation
34,Cost Summary - State Match,Cross-Document,Cost Summary + Invoice,State,State must match between Cost Summary and Invoice,Compares State fields (case-insensitive),"State mismatch: Cost Summary has '{costSummaryState}', Invoice has '{invoiceState}'",Error,Cost Summary Cross-Validation
35,Cost Summary - Amount Consistency,Cross-Document,Cost Summary + Invoice,Total Amount,Cost Summary total must match Invoice total within ±2%,Same as validation #3 (duplicate check),"Cost Summary total and Invoice total differ by {percentage}%",Error,Cost Summary Cross-Validation
36,Activity - Activity Type,Field Presence,Activity,Activity Type,Activity Type must be present,Checks if ActivityType field is not null/empty,"Missing required fields: Activity Type",Error,Activity Requirement
37,Activity - Location,Field Presence,Activity,Location,Location must be present,Checks if Location field is not null/empty,"Missing required fields: Location",Error,Activity Requirement
38,Activity - Date,Field Presence,Activity,Activity Date,Activity Date must be present,Checks if ActivityDate is not default date,"Missing required fields: Activity Date",Error,Activity Requirement
39,Activity - Date Range Match,Cross-Document,Activity + Cost Summary,Activity Date,Activity date must fall within campaign date range,Checks if ActivityDate is between CampaignStartDate and CampaignEndDate,"Activity date ({activityDate}) is outside campaign period ({startDate} to {endDate})",Error,Activity Cross-Validation
40,Activity - Location Match,Cross-Document,Activity + Cost Summary,Location/State,Activity location must match Cost Summary state,Compares Location with State (case-insensitive),"Location mismatch: Activity location is '{activityLocation}', but Cost Summary state is '{costSummaryState}'",Error,Activity Cross-Validation
41,Photo - Timestamp Presence,Field Presence,Photo,EXIF Timestamp,Photo must have EXIF timestamp,Checks if Timestamp field is not null,"Date present on {count} out of {total} photos",Warning,Photo Requirement
42,Photo - GPS Coordinates,Field Presence,Photo,GPS Coordinates,Photo must have GPS coordinates (Latitude/Longitude),Checks if Latitude and Longitude are not null,"Location coordinates present on {count} out of {total} photos",Warning,Photo Requirement
43,Photo - Blue T-shirt Detection,AI Validation,Photo,Person in Blue T-shirt,Photo must contain person wearing blue t-shirt,Uses AI vision to detect person in blue t-shirt,"No photos with person in blue t-shirt detected (AI validation)",Warning,Photo Requirement
44,Photo - Bajaj Vehicle Detection,AI Validation,Photo,Bajaj Vehicle,Photo must contain Bajaj vehicle,Uses AI vision to detect Bajaj vehicle in photo,"No photos with Bajaj vehicle detected (AI validation)",Warning,Photo Requirement
45,Photo - Minimum Count,Cross-Document,Photo + Activity,Photo Count,Number of photos must match activity requirements,Checks if photo count meets minimum requirements for activity type,"Insufficient photos: {count} photos provided, but {required} required for this activity type",Error,Photo Cross-Validation
46,Photo - Date Range Match,Cross-Document,Photo + Cost Summary,Photo Timestamp,Photo timestamp must fall within campaign date range,Checks if photo Timestamp is between CampaignStartDate and CampaignEndDate,"Photo timestamp ({photoDate}) is outside campaign period ({startDate} to {endDate})",Warning,Photo Cross-Validation